,summary,correct,rouge1,rouge2,rougeL,rougeLsum
278,"Dielektrisk tap er tap av elektrisk energi ved polarisasjon av et materiale.
Dette kan forklares ved at en del av den elektriske energien går over til varme.",Dielektrisk tap er tap av elektrisk energi i isolasjonsmaterialer som utsettes for høyfrekvente elektriske vekselspenninger.,36.3636,28.5714,36.3636,31.8182
279,"Lena Cronqvist var en svensk maler, grafiker og grafiker.
Hun er mest kjent for sitt maleri Modern (1975) og trolovningen (1974–1977), som er en replikk til Jan van Eycks dobbeltportrett Arnolfinis bryllup fra 1436.","Lena Cronqvist er en svensk maler og grafiker.
I sine ofte selvbiografiske motiver fremstiller hun oppvekst og morsrolle, psykisk sykdom, kjærlighet og død.
Cronqvists ekspressive penselføring og psykologiske motivkrets har hatt stor betydning for det selvbiografiske maleriet i svensk og nordisk kunst.",27.5,12.8205,25.0,27.5
280,"Butan-2,3-dion er et kjemisk stoff som består av ketoner og aromatiske forbindelser.
Stoffet brukes som smakstilsetning i matvarer, for eksempel popkorn med smørsmak.","Butan-2,3-dion er en kjemisk forbindelse som er gulfarget og flytende med en intens lukt, men som sterkt fortynna lukter som smør.
Kjemisk sett er det et diketon.",47.4576,14.0351,33.8983,37.2881
281,"Buvika er et tettsted i Skaun kommune i Innlandet fylke.
Tettstedet er ifølge SSBs definisjon 0,6 km2, og har 88 innbyggere (2022).","Buvika er en tettbebyggelse i Skaun kommune, Trøndelag, 20 kilometer sørvest for Trondheim, sammenvokst med Ilhaugen, se Buvika/Ilhaugen tettsted.
Buvika er et vekstområde med utstrakt pendling til Trondheim.",28.5714,14.8148,21.4286,25.0
282,"Djupsjøen er en innsjø i Sigdal kommune i Viken fylke.
Innsjøen ligger på østsiden av Grindefjell.","Djupsjøen er et vann i Sigdal kommune, Viken fylke.
Vannet det ligger øst for Eggedal og like sørvest for Norefjell.",45.0,26.3158,45.0,45.0
283,"Abwehr var en tysk etterretningsorganisasjon som ble grunnlagt i 1933 av Heinrich Himmler.
Abwehr hadde avdelinger i alle okkuperte land under andre verdenskrig.","Abwehr var den tyske militære overkommandos etterretningstjeneste i årene 1919–1945, frem til 1929 sterkt begrenset virksomhet.",19.5122,5.1282,19.5122,19.5122
284,Argumentum ad hominem er et uttrykk som brukes om å trekke frem personlige forhold ved den man argumenterer mot.,"Argumentum ad hominem betyr et argument vedrørende mennesket.
Det brukes om motargument der det anføres noe om motstanderens person i stedet for saken, som når for eksempel en politiker går mot et forslag idet han påpeker at motstanderen fører et umoralsk liv eller strøk på en eksamen.",22.2222,8.5714,19.4444,19.4444
285,"Bøkfjord fyr er en fyrstasjon i Kirkenes kommune i Troms og Finnmark fylke.
Den ligger ved munningen av Skytterelvsfjorden.","Bøkfjord fyr er en fyrstasjon ved innseilingen til Kirkenes i Sør-Varanger kommune, i Troms og Finnmark fylke.
Den ble opprettet som innseilingsfyr i 1910, automatisert i 1988 og avbemannet i 2006.",59.2593,42.3077,51.8519,59.2593
286,"The Sellafield kraftverk er et britisk kjernekraftverk som ble åpnet i 1956.
Kraftverket produserer elektrisk energi til elforsyningen, og produserer plutonium med en kvalitet som var egnet for det britiske kjernevåpenprogrammet.","Calder Hall er et nedlagt kjernekraftverk i England.
Kraftverket hadde fire kjernereaktorer med en samlet netto ytelse på 196 MWe.
Calder Hall regnes for å være verdens første kjernekraftverk som var i kommersiell drift.",29.8507,12.3077,26.8657,26.8657
287,"AIT er en internasjonal organisasjon for reiselivs- og motororganisasjoner.
Organisasjonen ble stiftet i 1898 som en ideell, ikke-statlig organisasjon som representerer interessene til nasjonale foreninger og forbund.
AIT har konsultativ status ved FN siden 1947.","Alliance Internationale de Tourisme, verdensomfattende reiselivsorganisasjon med hovedkontor i Genève.",4.2553,0.0,4.2553,4.2553
288,"Øivind Bergh var en norsk dirigent og programleder.
Han var sjefdirigent for Kringkastingsorkesteret i 200 konserter i året, i til sammen over 5000 konsertprogrammer.","Øivind Bergh var en norsk dirigent, fiolinist og formidler.
Bergh var den første sjefdirigenten for Kringkastingsorkesteret og var selv ofte programleder når orkesteret opptrådte på radio og fjernsyn.",40.0,22.6415,36.3636,40.0
289,"Blå ridderhatt er en slekt av stilksporesopper i slekten Lepista.
Den er vanlig i råtnende løv, bar, gress og kompost.","Blå ridderhatt er en skivesopp med blåaktig hatt og skiver, som er utrandete og lett skilles fra hattkjøttet.
Lukten er egenartet, noen sammenlikner med brent gummi.",24.0,12.5,24.0,24.0
290,"Ambon er en by i Indonesia, i provinsen Sør-Molukkanske republikk.
Byen ligger i den sørlige delen av øya Sumatra, ved elven Sumatra.","Ambon er den største byen på øya Ambon og provinshovedstad for Maluku (Molukkene), på halvøya Leitimor i Indonesia.
Byen har 347 288 innbyggere (2020).
I perioden fra 2015 til 2020 ble antall innbyggere redusert med 15,3 prosent.",24.6154,6.3492,18.4615,24.6154
291,Bakenforliggende faktor er en variabel som påvirker de undersøkte årsaksvariablene og virkningsvariablene.,"Bakenforliggende faktorer er en type feilkilde innen forskning.
Hvis man ikke er oppmerksom på en bakenforliggende faktor, kan det føre til at man tar feil i vitenskapelig studier av årsaker og virkninger (årsaksforskning).
En bakenforliggende faktor er noe som samvarierer med de undersøkte årsakene og virkningene, men uten selv å inngå i den undersøkte årsakskjeden.",28.169,14.4928,25.3521,28.169
292,"Arhat er en religiøs skikkelse i buddhismen, som blant annet er kjent for å være en av Buddhas disipler.
I buddhismen er arhaten i motsetning til bodhisattvaens grenseløse medlidenhet og altomfattende frelsesverk.","Arhat er i theravada-buddhismen personer som har nådd nirvana idet han eller hun har utviklet fullkommen frihet fra alt begjær og all tilknytning til verden og har vunnet den samme oppvåkningen, bodhi, som Buddha selv.
De er oftest menn, men det finnes også enkelte kvinner.",21.6867,2.4691,16.8675,21.6867
293,"François Billetdoux var en fransk dramatiker.
Han ble født i Toulouse, men flyttet til Paris i 1946.","Francǫis Billetdoux var en fransk forfatter.
Han skrev flere romaner, blant annet Royal garden blues (1957), men er mest kjent som skuespillforfatter.
Av hans skuespill kan nevnes A la Nuit la nuit (1955), Va donc chez Törpe (1957), Il faut passer par les nuages (1964) og Rintru pa trou tar, hin!
(1971).",16.4384,8.4507,16.4384,16.4384
294,"Dagens Næringslivs sjefredaktør er en norsk journalist og redaktør.
Djuve har vært en av Norges mest suksessfulle avisredaktører, både målt etter avisens jevne opplagsvekst og etter mange utmerkelser for produktutviklingen både på nett og papir.","Amund Djuve er en norsk medieleder som fra 1999 til 2021 var sjefredaktør og administrerende direktør i Dagens Næringsliv.
Han er fra 2021 konserndirektør for publikasjoner i NHST Media Group.",31.1688,13.3333,15.5844,20.7792
295,"Bocage var en portugisisk forfatter.
Han var en av de mest betydningsfulle lyrikerne i Portugals historie.","Manuel Maria Barbosa Bocage var en portugisisk lyriker som levde på slutten av 1700-tallet.
Han markerte seg som en av de viktigste lyrikerne i den portugisiske 1700-talls-klassisismen (den såkalte «arkadismen».
På grunn av den sterkt personlige tonen som preger tekstene hans, fikk han også stor betydning for de etterfølgende romantikerne.",28.169,17.3913,28.169,28.169
296,"Borgerskolen var en skole som ble opprettet i byer og byer i Norge i tiden rundt reformasjonen.
Skolen ble grunnlagt i Christiania i 1789, og ble i første halvdel av 1700-tallet erstattet av den høyere allmueskolen.",Borgerskole var skoler opprettet i byene i Norge fra slutten av 1700-tallet under innflytelse av opplysningstidens ideer for å skaffe byenes borgerstand en høyere skolegang som passet bedre for dens behov enn latinskolens undervisning.,37.8378,13.8889,29.7297,29.7297
297,"Dampoverhet er en overhet i dampkjelen.
Overheten er plassert i en dampkjele i fyrrommet, eller i fordamperheteflatene.","En dampoverheter tjener til å øke damptemperaturen over metningstemperaturen (se metningstrykk) uten trykkøkning i en dampkjele.
Overhetningstemperaturen velges avhengig av damptrykket; ved 20 atm brukes normalt ca.
350 °C, ved 100 atm 450 °C til maksimum ca.
565 °C.",17.8571,7.4074,14.2857,14.2857
298,"Austin er en by i delstaten Texas i USA, ved Coloradoelven.
Byen ligger ved elven Colorado i sørøst, og har et areal på 88 kvadratkilometer.","Austin er en by og hovedstaden i delstaten Texas i USA.
Byen har 964 254 innbyggere (U.S. Census, 2018) og Austin-Round Rock danner en større byregion (metropolitan area) med rundt 2,1 millioner innbyggere.",43.75,22.5806,37.5,37.5
299,"Birkenhead er en by i Storbritannia, England, i grevskapet Lancashire, ved elven Mersey.
Byen ligger på sørsiden av Merseyhalvøya, sørvest for Liverpool.","Birkenhead er en havneby og et bebygget område i Storbritannia, Cheshire, ved elven Merseys venstre bredd, like overfor Liverpool, på halvøya Wirral.
Birkenhead hadde 88 818 innbyggere i 2011, mens hele området hadde 142 968.",38.0952,16.3934,31.746,34.9206
300,"Amerikansk Samoa er en øygruppe i USA som omfatter øyene Tutuila, Aunu'u og Manu'a-gruppen (Ofu, Olosega, Ta'u) og Matafao.","Amerikansk Samoa er en amerikansk øygruppe i sørlige Stillehavet.
Den utgjør den østlige del av Samoaøyene; i alt seks øyer på 218 km2 med 66 430 innbyggere (2010), de fleste polynesiere.
Hovedstad er Pago Pago på øya Tutuila.
American Samoa er, sammen med Jarvisøya, USAs eneste territorium sør for ekvator.",23.0769,10.5263,20.5128,23.0769
301,"Michael Eliade var en australsk religionshistoriker.
Han var professor i religionshistorie ved Universitetet i Sydney i årene 1976–1984.","Var en rumensk forfatter og en av 1900-tallets betydeligste religionshistorikere.
Han studerte filosofi i Bucureşti og deretter filosofi og yoga i India 1928–1932.
Som professor ved universitetet i Bucureşti innledet han et skjønnlitterært forfatterskap inspirert av franske symbolister samt indisk religion og mytologi.
Under den annen verdenskrig var han knyttet til den rumenske utenrikstjenesten i London og Lisboa, og han var uavhengig forsker i Paris 1945–1957.
Professor i religionshistorie ved University of Chicago fra 1957.",21.7822,14.1414,15.8416,21.7822
302,"Bleikrublom er en flerårig urt i korsblomstfamilien.
Planten er svært vanlig på fastlandet, og kategoriseres som sårbar (VU) på Svalbard.","Bleikrublom er en flerårig urt i korsblomstfamilien.
Den lever i arktiske og alpine strøk på begge sider av Nord-Atlanteren.",44.4444,32.5581,44.4444,44.4444
303,"Blokkebær er ei urt i bærlyngslekta i lyngfamilien.
Dei er svært sjeldne i Norge, men blir ofte brukt som prydplanter.","Blokkebær er ein busk i bærlyngslekta i lyngfamilien.
Busken blir 40–70 centimeter høg, har raudaktige blomar og feller blada om hausten.
Busken er utbreidd i myrlendt mark over heile landet.
Bæra er lyseblå og saftige som blåbær, men kvite innvendig.",37.1429,17.6471,31.4286,34.2857
304,Enhetsregisteret er et register som behandler opplysningene om virksomheter som er registrert i et av de tilknyttede registrene.,"Enhetsregisteret er et nasjonalt register som registrerer viktige opplysninger om virksomheter i Norge.
Det administreres av Brønnøysundregistrene.
Virksomheter som registreres her får tildelt et unikt organisasjonsnummer, som brukes til å identifiserer virksomheten.
Opplysningene brukes av andre registere, og på denne måten samordnes opplysninger.
Det er gratis å registrere en virksomhet i Enhetsregisteret.
Opplysningene er offentlig tilgjengelig på nett.",33.3333,13.1579,25.641,33.3333
305,"John Coltrane var en amerikansk tenorsaksofonist og komponist.
Han var en av de fremste saksofonistene i sin generasjon.",John Coltrane var en amerikansk jazzmusiker (tenor- og sopransaksofonist) og komponist som regnes som en av jazzens største stilskapere.,47.3684,33.3333,47.3684,47.3684
306,"Eklogitt er en bergart i metamorfe facies.
Den er dannet under høytrykksmetamorfose av basalt eller gabbro i forbindelse med nedfolding eller nedpressing av jordskorpen til store dyp.","Eklogitt er en metamorf bergart uten plagioklaser som i hovedsak består av to mineraler: dyp rød granat (pyrop-almandin) og gressgrønn natrium- og aluminiumrik pyroksen (omfacitt).
Disse mineralene krever høyt trykk for å dannes (se metamorfe facies).
Kyanitt, rutil og kvarts kan opptre i enkelte eklogitter, og coesitt, en høytrykksmodifikasjon av SiO2, er også påvist.",29.5455,6.9767,20.4545,27.2727
307,"Niels Blædel var en dansk redaktør og redaktør.
Han var sjefredaktør i Dagens Nyheder fra 1933 til 1940, og direktør i Berlingske Tidende fra 1940 til 1940.","Nicolay Gottlieb Blædel var en dansk avisredaktør og forfatter.
Han var kjent som en av Nordens ledende utenrikspolitiske og mest kompromissløse antinazistiske skribenter.",34.4828,21.4286,34.4828,34.4828
308,"Aksjeeierregister er et verdipapirregister som inneholder opplysninger om selskapets navn, aksjekapital, pålydende, antall aksjer som eies av den enkelte aksjeeier.","Aksjeeierregister er et register over aksjonærene, eierne, i et allmennaksjeselskap eller aksjeselskap.
Registeret skal føres av alle selskap som er registrert i et verdipapirregister.
Aksjeselskap som ikke er registrert i et verdipapirregister skal føre aksjeeierbok.",23.7288,10.5263,16.9492,13.5593
309,"Pieter Bouts var en belgisk maler.
Han var elev av Pieter van der Velde, og var særlig kjent for sine landskapsmalerier.","Dieric Bouts var en flamsk maler.
Han var antagelig elev av Roger van der Weyden og var virksom i Leuven.
Han hører ved siden av brødrene van Eyck, Flémallemesteren og Roger van der Weyden til den generasjon som grunnla det nederlandske maleri.",35.8209,21.5385,35.8209,35.8209
310,"Poul Hansen Egede var en dansk misjonær.
Han var sogneprest i Vartov i København og biskop over Grønland fra 1779 til 1779.","Poul Hansen Egede var misjonær på Grønland, senere prest, prost og til slutt biskop.
Poul og broren Niels Egede var født i Norge, men vokste opp på Grønland.
Oppveksten ga brødrene gode kunnskaper til grønlandsk språk og kultur.",40.0,14.7059,31.4286,37.1429
311,"Benin er en republikk i Vest-Afrika, som grenser til Nigeria i nord og Niger i sør.
Den økonomiske utviklingen i Benin har vært sterkt preget av de økonomiske reformene som ble innledet i president Mathieu Kérékous første presidentperiode.","Benin er primært et jordbruksland med beskjedne naturressurser.
En relativt høy del av befolkningen bor i byer og tettsteder, blant annet på grunn av en betydelig offentlig tjenestesektor og en viss grad av industriproduksjon, i hovedsak ved kysten.
Benin er et fattig land, og om lag 1/3 av befolkningen lever under fattigdomsgrensen.
Etter mange år med lav økonomisk vekst, fant det sted et oppsving i 1990-årene, som følge av økonomiske reformer, som også medførte økte utenlandsinvesteringer.",25.3968,1.6129,19.0476,22.2222
312,"Constanţa er en by i Romania, i provinsen Dobrudsja, ved Svartehavet.
Byen ligger ved elven Constanţa, og har et areal på 88 kvadratkilometer.","Constanța er en by i Romania, Dobrudsja, ved Svartehavet, cirka 230 kilometer øst for Bucureşti, med 310 200 innbyggere (2020).",42.5532,35.5556,42.5532,42.5532
313,"DNA-sekvensering er å få tilgang til den genetiske koden og dens baserekkefølge.
Det finnes flere ulike typer sekvenseringsmetoder og hvilken metode som benyttes for å produsere resultatene.",DNA-sekvensering er ulike metoder som brukes for å kunne lese av rekkefølgen på bokstavene (baseparene) i arvestoffet DNA.,30.4348,13.6364,30.4348,30.4348
314,"Bergskrinneblom er en urt i korsblomstfamilien.
Den er svært sjelden i Norge, men finnes i flere varieteter i hele Norge, og er livskraftig (LC) i Artsdatabankens rødliste (2021).","Bergskrinneblom er en toårig eller flerårig art i korsblomstfamilien.
Den blir 20–60 centimeter høy og har hele blad som ofte er svakt tannet.
Blomstene er hvite.",33.3333,13.7931,26.6667,30.0
315,"Johan Christian Dahl var en norsk landskapsmaler.
Han var en av de første som gjorde folk oppmerksom på betydningen av stavkirkene, som var truet av forfall og nedrivning.","Johan Christian Clausen Dahl er kjent som grunnleggeren av vår nasjonale malerkunst.
Han var den første store tolkeren av norsk natur og 1800-tallets fremste norske landskapsmaler.
Han var professor ved kunstakademiet i Dresden fra 1824, men mens han bodde i Tyskland foretok han reiser til Norge fem ganger i tiden mellom 1826 og 1850.
Blant hans kjente malerier er Fra Stalheim fra 1842 og Bjerk i storm fra 1849.",27.7228,10.101,19.802,27.7228
316,"Bill of Rights er en rettighetserklæring som ble vedtatt 16. desember 1689.
Rettighetserklæringen inneholder i første del punktene som Jakob 2s konstitusjonelle overskridelser, og setter grenser for kongemakten.
I andre del blir Jakob 2 anklaget for å ha forbrutt seg mot den engelske tronen.","Bill of Rights er et engelsk statsrettslig dokument som er en av hovedlovene i den ukodifiserte engelske konstitusjonen.
Dokumentet ble vedtatt i 1689 i forbindelse med revolusjonen som fordrev Jakob 2 fra tronen og innsatte Jakobs svigersønn, Vilhelm 3, og datter, Maria 2, som felles regenter («den ærerike revolusjon»).",39.5833,12.766,31.25,35.4167
317,"Barth er en norsk slekt som stammer fra bergverksslekten i Kragerø.
Slekten er kjent for å ha vært i slekt med Caspar Weibye Barth (død 1682), som igjen var far til professor i skogskjøtsel og skogpleie ved Norges Landbrukshøgskole.","Barth er en norsk slekt.
Den første sikkert kjente stamfar for den norske familien var en saksisk bergmann, Georg Barth, hvis sønn Daniel Barth (1607–1656) døde som overbergmester på Kongsberg.
Fra hans sønn stempelskjærer Caspar Barth (1651–1708) og fra datteren Anne Marie Barth (1647–1691) utgår flere grener av slekten.",30.0,8.1633,22.0,26.0
318,"Creek er et område i Oklahoma i USA, i delstaten Oklahoma.
Det ligger i den nordvestlige delen av Oklahoma, ved grensen mot Mexico.","Creek er en urfolksgruppe i USA som opprinnelig var bosatt i det nordlige Alabama og Georgia.
De kalles også Ochese Creek, etter elven der de først ble påtruffet av europeiske kolonister.
I 1990 oppgav creeknasjonens registreringskontor at det var cirka 30 000 creek i USA, hvorav 16 000 holdt til i Oklahoma.",28.2051,7.8947,20.5128,28.2051
319,"Chen Duxiu var en kinesisk filosof og politiker.
Han var en av de fremste representantene for den kinesiske kommunistbevegelsen under andre verdenskrig, og var særlig kjent for sitt arbeid med å erstatte klassisk kinesisk med en målform basert på vanlig moderne talespråk.","Chen Duxiu var en fremtredende kinesisk politiker, språkforsker, forlegger og revolusjonær.
Chen var blant de mest innflytelsesrike tenkerne i Kinas tidlig moderne historie — først som agitator i revolusjonen som veltet keiserstyret, deretter som lederskikkelse i 4. mai-bevegelsen, og sist som medstifter og første generalsekretær for det kinesiske kommunistpartiet (KKP).",26.2626,6.1856,22.2222,24.2424
320,"Bunad er en tradisjonell folkedrakt som ble utviklet rundt midten av 1800-tallet, og som ble brukt på høytidsdager som barnedåp, konfirmasjon, bryllup, vitnemålsutdeling og 17. mai.
Bunaden brukes av alle aldersgrupper, uavhengig av utdannelse, sosial status og hvor i landet man bor.","Bunad er fest- og høytidsdrakter som har bakgrunn i en folkedrakt, men med ulik grad av historisk og lokal tilhørighet.
Skillet mellom bunader og andre drakter er ikke alltid åpenbart.",28.2051,2.6316,17.9487,20.5128
321,"Dekurion er en tittel som brukes i romersk sammenheng om en underordnet tjenestemann i en provinsby.
Tittelen ble brukt i senere tider om et medlem av byrådet, ordo decurionum eller curia.","En dekurie, eller decuria, var i det gamle Roma opprinnelig en militæravdeling på ti mann.
Senere har uttrykket blitt brukt i forbindelse med bestemte grupper i statssystemet uten hensyn til antall medlemmer.
For eksempel er decuriae judicum, jurymennene, som kunne være mellom to og fem i antall.",27.1605,2.5316,12.3457,22.2222
322,"Alevitter er en religiøs gruppe i sjiaislam, særlig i Tyrkia og Syria.
De har vært utsatt for sterkt religiøst press fra sunnimuslimsk hold, men har gjennom historien vært en del av militante islamske grupper.","Alevitter, eller alevier, er medlemmer av et tyrkisk religionssamfunn med røtter i sjiaislam.
Antallet alevi-muslimer i Tyrkia er usikkert, men trolig utgjør de 15–20 prosent av befolkningen.",25.7143,5.8824,22.8571,22.8571
323,"Art nouveau var en fransk dekorativ stil som ble utviklet i perioden 1895–1905.
Stilen ble særlig brukt innen arkitektur og design, men også innen maleri, skulptur og bok- og plakatkunst.","Art nouveau er en stilbevegelse som oppsto på 1890–tallet, hvor hovedideen var å skape kunst basert på naturlige former.
Dette grunnkonseptet ble delvis arvet fra William Morris og The Arts and Crafts Movement og var en reaksjon mot mekaniseringen og industrialiseringen som preget det moderne samfunnet.
Et særlig kjennetegn for art nouveau var bruken av kurvede linjer som etterlignet formene til planter og blomster.",22.6804,8.4211,16.4948,22.6804
324,"Beauharnais var en fransk hertug av Leuchtenberg og fyrste av Eichstätt.
Han var sønn av den bayerske kongen Napoleon 1 av Frankrike og prinsesse Augusta Amalia av Bayern.","Eugène de Beauharnais var en fransk statsmann.
Han var sønn av Alexandre Beauharnais og Joséphine, som ble fransk keiserinne gjennom sitt ekteskap med Napoleon Bonaparte, og bror av Hortense Beauharnais.",41.2698,22.9508,38.0952,41.2698
325,Dyrevern er et sosialt engasjement med formål om å beskytte dyr mot fare for unødige påkjenninger og belastninger.,"Dyrevern er virksomhet og tiltak for å sikre human behandling av tamme og ville dyr, og for å hindre at dyr blir påført lidelser.",27.2727,4.7619,22.7273,22.7273
326,Betongpumpe er en maskin som arbeider med å sikre en mest mulig jevn strøm av betong i et rørsystem.,Betongpumpe er en pumpe eller et pressverk som skyver betong frem i en rørledning i en kontrollert strøm frem til støpestedet.,50.0,14.2857,31.8182,31.8182
327,"Datolinjen er en tidssone i Jorden rundt.
Den blir vanligvis brukt når man reiser østover.","Datogrensen er en tenkt linje fra Nordpolen til Sydpolen som adskiller områder med ulik dato.
Datogrensen ligger for det meste langs 180. lengdegrad, som går gjennom Stillehavet, men avviker fra denne for at sammenhørende øygrupper skal ha samme dato.",10.3448,3.5714,10.3448,10.3448
328,"Demmevasshytta er en turisthytte i Den Norske Turistforening (DNT).
Hytta ble bygd i 1896 som anleggsbrakke av Kanalvesenet for å senke vannstanden i Nedre Demmevatn.","Demmevasshytta er en ubetjent DNT-hytte vest for Hardangerjøkulen, oppført i 1896.
Hytta drives av DNT Oslo og Omegn (del av Den Norske Turistforening) og ligger i Eidfjord kommune, i Vestland fylke, 1311 meter over havet.",45.1613,16.6667,29.0323,38.7097
329,Alpine foldesoner er fjell hvor platene i jordskorpen støter sammen.,Alpine foldesoner er en fellesbetegnelse for alle de fjellkjedene som ble dannet samtidig med Alpene i siste del av mesozoikum og i tertiær.,22.8571,12.1212,22.8571,22.8571
330,"Eidsdalsfjorden er en dal i Norddal kommune i Møre og Romsdal.
Dalen er ifølge SSBs definisjon cirka 50 kilometer lang og har et areal på rundt 3400 kvadratkilometer.","Eidsdal er et dalføre og tettbebyggelse i Norddal kommune, Møre og Romsdal, på sørsiden av Norddalsfjorden på Sunnmøre.
Tettbebyggelsen ligger ved fjorden.
Dalføret strekker seg sørover ca.
12 km.
Eidsdal har atskillig turisttrafikk.",34.7826,14.9254,26.087,31.8841
331,Kloning er fremstilling av et nytt individ fra en plante eller høyerestående dyr ved hjelp av fortynnings- og utvelgelsesprosedyrer.,"Kloning er formering som gir arvemessig identiske individer, altså kloner.
Innen genteknologi er kloning er et begrep som brukes om frembringelse av en mengde identiske DNA-molekyler.",25.0,4.3478,16.6667,20.8333
332,"Bord er en konstruksjon som brukes i forbindelse med matlaging, måltid og lignende.
Det er vanlig å bære et langbord eller en stol i stua når det ikke er i bruk.","Bord er et møbel bestående av en plate med understell, som ben eller bukker.
Bordet har hatt ulike funksjoner, som lange bord som folk ble benket rundt og spiste og drakk ved i gjestebud og andre særlige anledninger, eller mindre bord som de spiste ved til daglig, som serveringsbord, bord til å sette bort ting på og så videre.",21.2766,2.1739,14.8936,17.0213
333,"Nicholas Blake var en britisk dikter.
Han regnes som en av de mest betydningsfulle lyrikerne i sin generasjon.","William Blake var en britisk dikter, maler og raderer.
Han var en av de merkeligste skikkelser i engelsk litteratur og kunst, uforstått av sin samtid, den første store romantiker, og samtidig et geni som unndrar seg klassifisering.
Mange av hans mindre dikt, som The Tiger og Jerusalem, er allemannseie.
Hans større verker er meget vanskelige.
De har i nyere tid tiltrukket mange forskere.",28.5714,14.6341,26.1905,28.5714
334,"Bioprospektering er leting etter nye legemidler fra naturlige organismer, for eksempel taksol fra stillehavsbarlind som brukes i kreftbehandling, morfin fra opiumsvalmuen til bedøvelse eller penicillin fra muggsopper.","Bioprospektering er å lete i naturen etter nyttige forbindelser (stoffer), som kan brukes for eksempel som nye legemidler (medisiner).",47.8261,18.1818,30.4348,30.4348
335,"De la ut et nett for mine føtter, de presset meg ned.
De gjorde det for å presse meg ned, men selv falt de ned i graven.","Den som graver en grav for andre, faller selv i den er en talemåte som advarer mot å legge feller og om at planen ofte slår tilbake på den som prøver å ødelegge for andre.",12.6984,0.0,9.5238,9.5238
336,"Brage er et petroleumsfelt på norsk kontinentalsokkel i Nordsjøen.
Feltet ligger i den nordlige delen av Norskehavet.","Brage er et olje- og gassfelt i nordlige del av Nordsjøen, øst for Osebergfeltet.
Feltet ligger i blokkene 30/6, 31/4 og 31/7 og vanndypet i området er cirka 140 meter.",41.5094,19.6078,33.9623,41.5094
337,"Fernando Cardoso var en brasiliansk politiker.
Han var Brasils president fra 1998 til 2003.",Fernando Henrique Cardoso er en brasiliansk akademiker og tidligere politiker som var president i Brasil fra 1995 til 2002 for det sosialdemokratiske partiet Partido da Social Democracia Brasileira (PSDB).,46.5116,4.878,41.8605,41.8605
338,"Bergens kalvskinn er en norsk jordebok som ble utgitt i 1843 av Aslak Bolt.
Boken er en av de eldste jordebøkene i Norge, og er en viktig kildeskrift til bispedømmets historie, stedsnavnsforskning og bosetningshistorie.","Bergens kalvskinn er en jordebok, et register over geistlige jordeiendommer, for Bergen bispedømme fra omkring 1350.",22.6415,11.7647,22.6415,22.6415
339,"Bangka er en øy i Indonesia, på vestkysten av Sumatra.
Øya ligger i provinsen Belitung, ved elven Bangka.","Bangka er en øy i Indonesia, øst for Sumatra, skilt fra denne øya ved det smale Bangkastredet.
Øya har et areal på 11 330 kvadratkilometer og har 1 146 581 innbyggere (2021).
De fleste innbyggerne er muslimske malayer.
Største by er Pangkal Pinang med 216 893 innbyggere (2020).",29.8507,15.3846,26.8657,29.8507
340,"Darre er en norsk adelsslekt som opptrer på begynnelsen av 1500-tallet.
Slekten stammer muligens fra den gamle Darre-slekten, som stammer fra eidsvollsmannen Rolf Olufssøn, som var borgermester i Oslo på 1400-tallet, og hans sønnesønn, sogneprest i Klæbu Jacob Hersleb Darre (død cirka 1400).","Darre er tre norske slekter; en adelsslekt, en slekt etter rådmann i Trondheim Christopher Bjørnssøn og en nålevende slekt.",21.6216,2.7778,16.2162,16.2162
341,"Aikido er en kampsport i japansk idrett, hvor utøverne trener barfot, barfot og hakama.
I aikido er det vanlig å bruke hakama, de vide, mørke bukseskjørtene, som ligner en judodrakt.","Aikido er et japansk selvforsvarssystem hvor man gjennom sirkulære bevegelser søker å utnytte angriperens egen kraft og bevegelse for å uskadeliggjøre ham.
Dette gjøres ved bruk av grep, kast, vridninger og låsninger.
Enkelte teknikker involverer også slag, støt og grep.
Spark er lite brukt.
I aikido finnes bare forsvarsteknikker, og man bruker aldri egen styrke mot motstanderens krefter.",17.0213,4.3478,14.8936,17.0213
342,"Antarktispetrell er en fugleart i stormfuglfamilien.
Den er den minste av stormfuglene i ordenen petreller.","Antarktispetrell er en art i stormfuglfamilien.
Den er brun og hvit, lengden er ca.
45 cm og vekt 500–700 gram.",38.8889,29.4118,38.8889,38.8889
343,"Centrum-Demokraterne var et dansk politisk parti som ble stiftet i 1973.
Partiet ble dannet i 1972 av Erhard Jakobsen, som var stortingsrepresentant i perioden 1973–1989 og i koalisjonsregjeringen i 1993–1996.","Centrum-Demokraterne var et dansk politisk parti, grunnlagt i 1973 som utbryterparti fra Socialdemokratiet, nedlagt i 2008.
Partiet hadde en sosialradikal profil, men var kultur- og utenrikspolitisk konservativt.",45.9016,23.7288,39.3443,42.623
344,"George Phillips Bond var en amerikansk astronom og astronom.
Han var professor i astronomi ved Harvard-observatoriet i 1839–1859.","William Cranch Bond var en amerikansk astronom og Harvard-observatoriets første direktør.
Han utførte utstrakte studier av planeter, solflekker og tåker.",40.0,27.907,35.5556,40.0
